total_iterations, iterations_per_second, memory_usage
22649556, 10525, 1516351488
22655011, 3769.8686938493433, 1506217984
22657373, 1632.3427781617138, 1503764480
22664001, 6628, 1513451520
22669762, 3229.2600896860986, 1505169408
22671610, 1211.0091743119267, 1504579584
22676285, 4675, 1512751104
22681446, 3525.273224043716, 1506217984
22682533, 776.4285714285714, 1505103872
22684142, 623.8852268321054, 1505198080
22691208, 7066, 1513558016
22691825, 395.00640204865556, 1507266560
22692912, 648.955223880597, 1505624064
22693863, 658.5872576177286, 1506222080
22694814, 654.0577716643742, 1505722368
22695765, 577.764277035237, 1505800192
22696716, 617.1317326411421, 1505845248
22697667, 563.0550621669627, 1505890304
22698618, 664.5702306079664, 1506254848
22699569, 674.9467707594038, 1506254848
22700520, 673.5127478753542, 1506254848
22701471, 674.9467707594038, 1506254848
22702463, 701.0600706713781, 1506254848
22703414, 678.3166904422254, 1506295808
22707210, 1713.7697516930023, 1507303424
22707579, 257.3221757322176, 1506496512
22710647, 1334.4932579382341, 1507303424
22711290, 276.0841562902533, 1506676736
22713414, 975.654570509876, 1507303424
22714057, 272.8044123886296, 1506811904
22716181, 977.0009199632015, 1507307520
22716824, 274.903805044891, 1506947072
22718641, 830.4387568555758, 1507307520
22719284, 438.60845839017736, 1507332096
22719927, 269.03765690376565, 1507344384
22720547, 268.98047722342733, 1507344384
22720916, 254.8342541436464, 1507344384
22721220, 209.6551724137931, 1507106816
22721474, 118.85821244735611, 1506263040
22721616, 99.023709902371, 1506177024
22721719, 71.92737430167598, 1506078720
22721818, 46.54442877291961, 1505984512
22721856, 26.685393258426966, 1505542144
