total_iterations, iterations_per_second, memory_usage
274337980, 593814, 75177984
274929404, 591424, 75214848
275525465, 595465.5344655345, 75243520
276122288, 596823, 75264000
276722054, 599766, 75292672
277320753, 598699, 75313152
277916196, 594848.1518481519, 75341824
278516712, 599916.083916084, 75366400
279113128, 596416, 75390976
279710851, 597723, 75411456
280299494, 588643, 75440128
280896154, 596660, 75468800
281492762, 596608, 75493376
282095112, 602350, 75513856
282694888, 599776, 75550720
283292243, 597355, 75575296
283894005, 601762, 75608064
284488905, 594900, 75636736
285087160, 598255, 75661312
285687037, 599877, 75689984
286291402, 604365, 75718656
286889938, 597341.3173652694, 75743232
287487889, 597951, 75771904
288084569, 596680, 75792384
288684407, 599838, 75816960
289283676, 599269, 75841536
289884640, 600964, 75866112
290480647, 596007, 75894784
291077789, 597142, 75923456
291672853, 595064, 75943936
292278033, 605180, 75968512
292870861, 592828, 75993088
293472947, 601484.5154845156, 76025856
294063165, 590218, 76046336
294659533, 596368, 76070912
295253684, 594151, 76095488
295855061, 601377, 76120064
296452864, 597205.7942057942, 76152832
297049030, 596166, 76173312
297641337, 592307, 76201984
298238311, 596974, 76226560
298831011, 592700, 76255232
299432456, 601445, 76279808
300022290, 589834, 76308480
300619096, 596806, 76333056
301215240, 596144, 76353536
301818116, 602876, 76386304
302412698, 594582, 76406784
303013444, 600746, 76435456
303604939, 591495, 76451840
304204833, 599894, 76480512
304806548, 601715, 76505088
305404379, 597831, 76533760
306004204, 599825, 76562432
306605383, 601179, 76587008
307205492, 600109, 76611584
307806393, 600901, 76632064
308404006, 597613, 76664832
309000371, 596365, 76685312
309604425, 604054, 76709888
310204492, 600067, 76734464
310808467, 603975, 76759040
311405662, 597195, 76787712
312007907, 602245, 76816384
312600891, 592984, 76849152
313202912, 602021, 76869632
313801223, 598311, 76898304
314399617, 598394, 76918784
314998493, 598876, 76951552
315599244, 600751, 76972032
316200673, 601429, 77000704
316799850, 599177, 77025280
317386179, 586329, 77053952
317985527, 599348, 77078528
318585631, 600104, 77103104
319186050, 600419, 77127680
319784843, 598793, 77148160
320384184, 599341, 77180928
320984584, 600400, 77205504
321587081, 602497, 77230080
322188493, 601412, 77258752
322790327, 601834, 77283328
323384516, 594189, 77307904
323977519, 593003, 77332480
324571620, 594101, 77352960
325175252, 603632, 77381632
325771924, 596672, 77406208
326360461, 588537, 77430784
326956212, 595751, 77451264
327552788, 596576, 77479936
328144223, 591435, 77516800
328743162, 598939, 77537280
329341096, 597934, 77565952
329938273, 597177, 77590528
330540026, 601753, 77615104
331142145, 602119, 77656064
331747124, 604979, 77672448
332344599, 597475, 77713408
332948348, 603145.8541458542, 77733888
333548880, 600532, 77762560
334149861, 600981, 77791232
334749895, 598836.3273453094, 77811712
335353652, 603757, 77832192
335950926, 597274, 77860864
336551441, 599915.084915085, 77885440
337149534, 598093, 77918208
337745228, 595694, 77942784
338342279, 597051, 77967360
338938502, 596223, 77996032
339538483, 599981, 78024704
340138372, 599889, 78049280
340737707, 599335, 78073856
341340536, 602829, 78098432
341933419, 592290.7092907093, 78123008
342536112, 602693, 78147584
343134450, 598338, 78176256
343737365, 602915, 78200832
344328896, 591531, 78225408
344922130, 593234, 78266368
345516959, 594829, 78282752
346123020, 606061, 78315520
346721748, 598728, 78336000
347321154, 599406, 78360576
347915505, 594351, 78385152
348513187, 597682, 78413824
349110480, 597293, 78438400
349706128, 595648, 78458880
350303177, 597049, 78487552
350899836, 596659, 78512128
351492757, 592921, 78536704
352092930, 600173, 78557184
352685161, 592231, 78598144
353275229, 590068, 78618624
353860921, 585692, 78643200
354453599, 592678, 78675968
355054114, 599915.084915085, 78696448
355649665, 595551, 78721024
356251309, 601644, 78749696
356845266, 593957, 78774272
357441663, 596397, 78798848
358039403, 597740, 78831616
358634546, 595143, 78848000
359229229, 594683, 78872576
359825374, 596145, 78897152
360424960, 599586, 78934016
361028162, 603202, 78958592
361629454, 601292, 78987264
362227022, 597568, 79007744
362824158, 597136, 79032320
363420245, 596087, 79056896
364018660, 598415, 79085568
364618034, 599374, 79106048
365218648, 600614, 79134720
365819349, 600701, 79167488
366415736, 596387, 79187968
367014589, 598853, 79216640
367610838, 596249, 79237120
368214721, 603883, 79265792
368815983, 601262, 79294464
369415866, 599883, 79319040
370015109, 599243, 79343616
370609766, 594657, 79372288
371204893, 595127, 79396864
371798849, 593956, 79421440
372399515, 600666, 79446016
372990906, 591391, 79470592
373586500, 595594, 79486976
374185377, 598877, 79519744
374784159, 598782, 79544320
375387584, 603425, 79572992
375981626, 594042, 79597568
376582507, 600881, 79626240
377183991, 601484, 79650816
377783060, 599069, 79675392
378383575, 600515, 79708160
378977977, 594402, 79732736
379581907, 603930, 79761408
380175033, 593126, 79785984
380774307, 599274, 79810560
381367366, 593059, 79839232
381964007, 596641, 79859712
382564523, 600516, 79888384
383163674, 599151, 79908864
383762053, 598379, 79941632
384359938, 597885, 79966208
384956118, 596180, 79990784
385560434, 604316, 80015360
386157266, 596832, 80039936
386758541, 601275, 80068608
387359237, 600696, 80093184
387958736, 599499, 80117760
388556820, 598084, 80138240
389158864, 601442.5574425575, 80171008
389759379, 600515, 80191488
390361192, 601813, 80220160
390956554, 595362, 80236544
391557278, 600724, 80265216
392152446, 595168, 80297984
392750626, 598180, 80322560
393347359, 596733, 80343040
393952258, 604899, 80371712
394539341, 587083, 80392192
395138261, 598920, 80433152
395730543, 592282, 80457728
396324995, 594452, 80474112
396919569, 594574, 80502784
397518308, 598739, 80527360
398113124, 594816, 80556032
398710344, 597220, 80580608
399303814, 593470, 80605184
399901960, 598146, 80637952
400500434, 598474, 80658432
401099161, 598727, 80687104
401692956, 593795, 80707584
402290892, 597338.6613386614, 80732160
402891239, 600347, 80760832
403487590, 596351, 80781312
404089198, 601608, 80805888
404680970, 591772, 80834560
405276170, 595200, 80859136
405875727, 599557, 80883712
406477037, 601310, 80908288
407072355, 594723.2767232768, 80941056
407672871, 599916.083916084, 80969728
408273386, 600515, 80990208
408874172, 600786, 81014784
409470413, 596241, 81047552
410071836, 601423, 81072128
410666620, 594784, 81100800
411264633, 597415.5844155845, 81121280
411858280, 593647, 81145856
412454957, 596677, 81170432
413054512, 599555, 81199104
413654733, 600221, 81215488
414252053, 597320, 81244160
414853431, 601378, 81272832
415452594, 599163, 81293312
416046096, 592317.3652694611, 81321984
416638909, 592813, 81350656
417239186, 600277, 81379328
417841032, 601846, 81408000
418436828, 595796, 81432576
419035349, 598521, 81461248
419632471, 597122, 81481728
420227928, 595457, 81510400
420832233, 604305, 81530880
421430325, 598092, 81559552
422028591, 598266, 81580032
422630463, 601872, 81608704
423229313, 598850, 81641472
423829454, 600141, 81661952
424424699, 595245, 81698816
425025659, 600960, 81723392
425620649, 594990, 81747968
426221687, 601038, 81776640
426821383, 599096.9030969031, 81817600
427422636, 601253, 81833984
428015059, 592423, 81866752
428614213, 599154, 81891328
429212115, 597304.6953046954, 81915904
429810320, 598205, 81936384
430404010, 593690, 81965056
431001945, 597935, 81989632
431594192, 592247, 82018304
432197192, 603000, 82042880
432797541, 600349, 82067456
433405046, 607505, 82096128
434002759, 597713, 82120704
434601390, 598631, 82149376
435194609, 593219, 82169856
435796409, 601800, 82198528
436392550, 596141, 82223104
436995918, 603368, 82247680
437590542, 594624, 82272256
438185856, 595314, 82296832
438776874, 591018, 82329600
439375671, 598797, 82358272
439976745, 601074, 82378752
440577658, 600913, 82407424
441175041, 597383, 82427904
441777347, 602306, 82456576
442375403, 598056, 82477056
442978650, 602644.3556443558, 82509824
443574571, 595921, 82530304
444176886, 602315, 82550784
444772124, 595238, 82579456
445369381, 596660.3396603398, 82604032
445962725, 593344, 82632704
446563345, 600620, 82657280
447164271, 600926, 82690048
447764402, 600131, 82714624
448359922, 595520, 82735104
448961144, 601222, 82763776
449560741, 599597, 82796544
450157483, 596742, 82821120
450758670, 601187, 82845696
451349294, 590624, 82874368
451948527, 599233, 82898944
452435844, 487317, 82923520
453021882, 586038, 82944000
453594074, 572192, 82972672
454168735, 574661, 82997248
454751172, 582437, 83021824
455336482, 585310, 83050496
455917858, 581376, 83079168
456503379, 585521, 83095552
457081300, 577921, 83124224
457664046, 582746, 83152896
458232598, 568552, 83181568
458800462, 567864, 83202048
459376066, 575604, 83226624
459961167, 585101, 83247104
460542061, 580894, 83267584
461114263, 572202, 83296256
461697516, 583253, 83320832
462285790, 587686.3136863138, 83345408
462868487, 582697, 83378176
463449692, 581205, 83394560
464030758, 581066, 83419136
464619252, 588494, 83447808
465199484, 580232, 83476480
465784264, 584780, 83501056
466365950, 581686, 83525632
466950793, 584843, 83554304
467529410, 578617, 83574784
468112625, 583215, 83603456
468694333, 581708, 83619840
469269268, 574935, 83652608
469838073, 568805, 83677184
470422281, 584208, 83701760
471004755, 582474, 83722240
471589040, 584285, 83750912
472181824, 592784, 83779584
472747053, 565229, 83804160
473340364, 593311, 83820544
473931037, 590673, 83849216
474523355, 592318, 83877888
475110020, 586665, 83906560
475698207, 588187, 83927040
476285132, 586925, 83955712
476871723, 586591, 83988480
477458532, 586809, 84017152
478050628, 592096, 84037632
478625826, 575198, 84062208
479208949, 583123, 84082688
479793330, 584381, 84107264
480381670, 588340, 84135936
480969751, 588081, 84160512
481562218, 592467, 84185088
482108223, 546005, 84209664
482657992, 549769, 84234240
483225954, 567962, 84254720
483817541, 591587, 84275200
484382066, 564525, 84303872
484973096, 591030, 84332544
485560553, 587457, 84357120
486150537, 589984, 84373504
486730629, 580092, 84402176
487314745, 584116, 84430848
487901162, 586417, 84451328
488493189, 592027, 84475904
489086148, 592959, 84496384
489682203, 596055, 84529152
490272675, 590472, 84557824
490861259, 588584, 84582400
491449156, 587897, 84611072
492037514, 588358, 84631552
492622031, 584517, 84656128
493211575, 589544, 84676608
493793244, 581669, 84701184
494379895, 586651, 84725760
494961885, 581990, 84750336
495552753, 590868, 84774912
496131616, 578863, 84803584
496694270, 562654, 84828160
497283785, 589515, 84852736
497867128, 583343, 84881408
498452681, 585553, 84901888
499041537, 588856, 84934656
499631051, 589514, 84959232
500219521, 588470, 84979712
500812307, 592786, 85004288
501404274, 591967, 85024768
502009264, 604990, 85057536
502605097, 595833, 85078016
503195235, 590138, 85098496
503782893, 587658, 85135360
504363626, 580733, 85159936
504944765, 581139, 85188608
505536628, 591863, 85217280
506121003, 584375, 85237760
506701269, 580266, 85266432
507292474, 591205, 85286912
507887901, 595427, 85315584
508484197, 596296, 85340160
509097094, 612897, 85364736
509701978, 604884, 85393408
510296788, 594810, 85422080
510897382, 600594, 85442560
511504558, 607176, 85467136
512103607, 599049, 85491712
512708946, 605339, 85520384
513316377, 607431, 85549056
513920733, 604356, 85577728
514522654, 601921, 85598208
515123506, 600852, 85626880
